time,open,high,low,close,MA,MA,MA,MA,MA,Volume,Basis,Upper,Lower,Histogram,MACD,Signal,%K,%D,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2022-11-02,9.27,9.77,8.2,8.24,17.551000000000002,23.23525000000002,8.867777777777775,13.860599999999994,10.868600000000026,174985622,8.4165,10.372989458187861,6.460010541812136,0.27795888395659374,-0.5667404852477205,-0.8446993692043142,47.24137931034483,69.69703009766793,42.804243920328844,41.84206308687265,NaN,NaN,NaN,NaN
2022-11-03,7.782,8.29,7.53,7.89,17.34506666666667,23.020600000000016,8.791111111111109,13.783999999999997,10.678200000000027,135668658,8.251499999999998,9.746802979332374,6.7561970206676225,0.20419730702338268,-0.5894527354250858,-0.7936500424484685,31.13553113553113,53.967640668856525,40.91581719809021,42.505688254955196,NaN,NaN,NaN,NaN
2022-11-04,8.72,9.06,8.42,8.99,17.16306666666667,22.83559999999999,8.825555555555553,13.71629999999999,10.471600000000029,173041656,8.2405,9.710458842961295,6.770541157038707,0.22469560548862066,-0.5127805355876927,-0.7374761410763133,71.42857142857144,49.9351606248158,48.592123506108976,43.52744473621939,NaN,NaN,NaN,NaN
2022-11-07,9.268,9.69,8.88,9.59,16.973933333333335,22.664999999999985,8.862222222222222,13.64609999999999,10.343800000000028,105846690,8.306000000000001,9.889520129332139,6.722479870667862,0.2707786544139943,-0.3990028230588205,-0.6697814774728148,92.99610894941635,65.18673717117298,52.23725804401578,44.77537361073413,NaN,NaN,NaN,NaN
2022-11-08,10.109,10.56,9.61,10.17,16.822533333333336,22.48859999999999,8.99111111111111,13.612099999999987,10.246200000000028,147373318,8.436000000000002,10.175682729695279,6.696317270304725,0.3285884670928476,-0.25904589360675523,-0.5876343606996028,87.1287128712871,83.85113108309163,55.5205164161025,46.17070097742141,NaN,NaN,NaN,NaN
2022-11-09,9.7393,9.82,9.18,9.24,16.680733333333336,22.333849999999988,9.071111111111108,13.567499999999987,10.141600000000027,107444856,8.531,10.227890096617944,6.834109903382057,0.293604310252614,-0.22062897288383532,-0.5142332831364493,56.43564356435643,78.85348846168664,49.62943798039798,47.075900231115455,NaN,NaN,NaN,NaN
2022-11-10,10.8,12.17,10.56,12.08,16.55786666666667,22.183649999999986,9.357777777777777,13.540299999999986,10.102400000000028,196270278,8.735,11.010007692294723,6.459992307705276,0.44221602732537024,0.03853675102026344,-0.4036792763051068,98.06034482758622,80.54156708774326,62.6593894400759,48.463565400611955,NaN,NaN,NaN,NaN
2022-11-11,12.28,13.41,11.83,13.22,16.457400000000003,22.067949999999982,9.835555555555553,13.529599999999986,10.102400000000028,166468415,9.049499999999998,11.904576005993572,6.194423994006424,0.5886136812780646,0.33208782529247394,-0.25652585598559063,96.7687074829932,83.75489862497862,66.41501553241864,50.07068926207654,NaN,NaN,NaN,NaN
2022-11-14,12.988,13.51,12.7269,12.77,16.365933333333334,21.939749999999986,10.243333333333332,13.517199999999985,10.100600000000027,108739562,9.321499999999999,12.488929715084495,6.154070284915502,0.6231375413157572,0.5223960706591058,-0.10074147065665134,87.62541806020066,94.15149012359336,63.6918313544079,51.20320932654964,NaN,NaN,NaN,NaN
2022-11-15,14.34,14.44,13.31,13.87,16.283466666666673,21.78619999999998,10.868888888888888,13.497799999999984,10.129600000000028,159797745,9.645,13.252400726284804,6.037599273715195,0.6832283993048851,0.7532940284744551,0.07006562916956999,91.75108538350216,92.04840364223202,67.2290699738781,52.69579801798572,NaN,NaN,NaN,NaN
