time,open,high,low,close,MA,MA,MA,MA,MA,Volume,Basis,Upper,Lower,Histogram,MACD,Signal,%K,%D,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2022-11-02,275.08,278.21,265.61,265.68,301.30113333333327,313.1198999999999,276.5377777777774,292.5406000000003,283.7362000000003,79803142,271.97549999999995,284.9046693081979,259.046330691802,0.8249900510366421,-2.1017275399373148,-2.926717590973957,22.649223221586315,56.48404122767443,41.50689069825338,46.70054738146773,NaN,NaN,NaN,NaN
2022-11-03,263.01,264.5,260.1,260.49,300.6207999999999,312.58995,274.8788888888886,292.39140000000026,282.6458000000003,70038903,271.012,284.34293185039775,257.68106814960225,-0.08638150750908347,-3.034694475360311,-2.9483129678512277,1.5918367346938218,30.98740671361833,38.37737552651333,46.99494674085019,NaN,NaN,NaN,NaN
2022-11-04,265.53,266.61,259.08,264.68,299.97299999999996,312.10475,273.34888888888855,292.27910000000026,281.5278000000003,78313213,270.791,284.3853398515698,257.19666014843017,-0.35880806490158257,-3.396823048978206,-3.0380149840766233,21.943573667711654,15.39487787466394,42.16837401666542,46.96168845540434,NaN,NaN,NaN,NaN
2022-11-07,265.75,268.14,263.57,267.59,299.2949333333333,311.68425,271.50222222222186,292.12700000000024,280.73080000000033,47333828,270.85,284.37785274904707,257.322147250953,-0.29734403721815994,-3.409695030599323,-3.1123509933811633,33.34639498432593,18.960601795577148,44.71230628516082,46.97559039857555,NaN,NaN,NaN,NaN
2022-11-08,269.14,272.85,265.52,269.54,298.68453333333326,311.26545000000004,270.56999999999965,292.1085000000002,280.0334000000003,63213785,271.1895,284.21881229958024,258.1601877004198,-0.09041315529796634,-3.225367437503621,-3.134954282205655,40.9874608150471,32.092476489028236,46.413378776087036,47.16241600849922,NaN,NaN,NaN,NaN
2022-11-09,267.76,268.56,263.03,263.32,298.08493333333325,310.85650000000004,269.5088888888886,291.9948000000002,279.2794000000003,64862129,271.22249999999997,284.16830839499977,258.27669160500017,-0.32433836959146456,-3.5403772441949855,-3.216038874603521,16.614420062695935,30.316091954022998,41.97683755782366,47.10648566125656,NaN,NaN,NaN,NaN
2022-11-10,276.01,283.05,273.85,282.75,297.6092666666666,310.5474,269.67888888888854,292.01150000000024,278.9490000000003,99256693,271.919,285.742015445266,258.09598455473395,0.8153414117607736,-2.196862109902554,-3.0122035216633276,92.7507836990595,50.11755485893419,56.09510434338411,47.631736100944444,NaN,NaN,NaN,NaN
2022-11-11,282.56,288.64,281.19,287.96,297.2013333333333,310.28169999999994,270.79111111111075,292.08440000000024,278.7202000000003,66961751,273.28000000000003,287.7760408387932,258.78395916120684,1.8468807883716782,-0.7036025361987299,-2.550483324570408,97.6995940460081,69.02159926925452,58.977488365460054,48.17515395505766,NaN,NaN,NaN,NaN
2022-11-14,285.86,289.215,284.44,285.44,296.8316666666666,309.94989999999996,271.9388888888886,292.09030000000024,278.5256000000003,55080048,274.0845,289.3825540919435,258.78644590805646,2.259044899445701,0.273322799736718,-1.9857220997089828,87.47303799568616,92.64113858025127,57.02733194768662,48.24931312289153,NaN,NaN,NaN,NaN
2022-11-15,292.21,293.26,285.97,289.39,296.49793333333326,309.5815999999999,274.57333333333304,292.0381000000002,278.4524000000003,73985372,274.97999999999996,291.60280842697955,258.3571915730204,2.6691417342193655,1.3507050680652242,-1.3184366661541413,88.67758923346985,91.28340709172137,59.29912197813316,48.88703352209485,NaN,NaN,NaN,NaN
2022-11-16,287.39,289.4838,284.6,285.44,296.0918666666666,309.18119999999993,277.3455555555553,291.96800000000025,278.1818000000003,48859804,275.72749999999996,292.81354796317896,258.64145203682097,2.5462018284423378,1.8643156193987807,-0.6818862090435569,77.12112346401406,84.42391689772336,56.104926073452816,49.58477125983429,NaN,NaN,NaN,NaN
2022-11-17,280.88,286.3189,280.72,284.81,295.7343999999999,308.76279999999997,279.58222222222196,291.98070000000024,277.86760000000027,55462076,276.5125,293.7522283911327,259.2727716088673,2.3016808681992096,2.195214876205455,-0.1064659919937545,75.27794031597429,80.3588843378194,55.59059502105138,49.768155838754446,NaN,NaN,NaN,NaN
