time,open,high,low,close,MA,MA,MA,MA,MA,Volume,Basis,Upper,Lower,Histogram,MACD,Signal,%K,%D,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2022-11-02,383.9,388.63,374.76,374.87,398.86060000000026,409.15289999999993,381.63333333333344,388.8333000000007,381.31139999999965,126990356,372.0234999999999,392.2110201795673,351.8359798204325,2.0653016166908165,1.4779305473839486,-0.5873710693068677,53.574633562668325,77.23258743035842,48.41278362392568,51.20255223529507,NaN,NaN,NaN,NaN
2022-11-03,371.465,374.2,368.79,371.01,398.32306666666693,408.7492,381.268888888889,388.7934000000007,380.45819999999964,87100115,371.9139999999999,392.0985638050581,351.7294361949416,1.0923094442063292,0.778015735951044,-0.3142937082552853,41.46642020948859,60.385806949596315,45.82080258776503,51.736007521955266,NaN,NaN,NaN,NaN
2022-11-04,377,378.87,370,376.35,397.81260000000026,408.39719999999994,380.98888888888894,388.81820000000073,379.59499999999963,103505182,372.59199999999987,392.4127977639798,352.7712022360199,0.7688478149939049,0.6467660604870957,-0.12208175450680908,47.70949720670398,47.583516992953655,49.82314156142166,52.04875507227376,NaN,NaN,NaN,NaN
2022-11-07,377.71,380.57,375.53,379.95,397.30026666666686,408.10704999999996,380.4366666666667,388.8257000000007,379.0877999999996,68286947,373.5884999999999,392.7746661360609,354.4023338639389,0.7566606451699729,0.8237440519556571,0.0670834067856842,61.11731843575415,50.097745283982256,52.377263207224054,52.32994931492648,NaN,NaN,NaN,NaN
2022-11-08,381.11,385.12,377.72,382,396.84006666666687,407.81784999999996,380.4344444444445,388.97920000000073,378.6751999999996,84641062,374.80149999999986,392.8608236584476,356.7421763415521,0.8395711860984195,1.1165473894087086,0.27697620331028905,68.75232774674116,59.19304779639978,53.81884389455015,52.83462649940908,NaN,NaN,NaN,NaN
2022-11-09,379.93,381.14,373.61,374.13,396.3574666666668,407.51615,379.78444444444455,389.0619000000008,378.19359999999966,78495470,375.67999999999984,391.69848432282845,359.6615156771712,0.34275604458686776,0.7054212590438738,0.362665214457006,39.441340782122865,56.43699565487274,47.83260316959077,53.05267486479029,NaN,NaN,NaN,NaN
2022-11-10,388.05,395.04,385.642,394.69,395.99693333333346,407.32269999999994,380.4144444444445,389.25810000000075,378.1837999999997,141455847,377.1159999999999,394.48731704853014,359.7446829514696,1.3221789191190656,2.015388863355838,0.6932099442367725,98.66666666666659,68.9534450651769,60.266553144130235,53.70314333851635,NaN,NaN,NaN,NaN
2022-11-11,395.59,399.35,393.61,398.51,395.66986666666685,407.15905,381.78111111111116,389.4993000000008,378.2255999999997,93839872,379.15999999999985,396.49928256880105,361.82071743119866,2.104215011608378,3.3234787087472455,1.219263697138867,97.25130890052347,78.45310544977099,62.075217519081,54.27242419045149,NaN,NaN,NaN,NaN
2022-11-14,396.66,400.1799,394.83,395.12,395.37120000000016,406.9249,382.95888888888896,389.6699000000008,378.2831999999997,71893165,380.5749999999999,398.2705084696809,362.87949153031883,2.25661598113318,4.040033673555342,1.783417692422162,83.88048384990083,93.26615313903032,59.48731948020639,54.39784511044434,NaN,NaN,NaN,NaN
2022-11-15,401.15,402.31,394.49,398.49,395.1058666666668,406.6678,385.58333333333337,389.7540000000008,378.4377999999997,93194452,381.94299999999987,400.70448085841207,363.18151914158767,2.432648866109969,4.824228775059623,2.3915799089496543,88.6038186157518,89.91187045539205,61.21821781576414,54.808498220835915,NaN,NaN,NaN,NaN
